ID: L3545 | OPERACAO: Locacao | TITULO: Prédio Comercial para alugar com 618m² no Jardim Faculdade - Sorocaba | BAIRRO: Jardim Emília | CIDADE: Sorocaba | AREA: 580m2 | QUARTOS: 0 | BANHEIROS: 8 | VAGAS: 9 | ALUGUEL: R$ 28000 | DESCRICAO: Este prédio comercial está situado em uma localização excelente e oferece uma infraestrutura completa para atender a diversas necessidades empresariais. Com estacionamento para aproximadamente 9 veículos e 2 vagas na lateral, e sete vagas frontais voltadas para a Washington Luiz, o edifício garante fácil acesso e comodidade para clientes e funcionários. Distribuído em três pavimentos, o prédio possui: Térreo: Um amplo salão com dois banheiros, ideal para acomodar um grande fluxo de pessoas. 1º Pavimento: Outro salão espaçoso, uma cozinha, quatro banheiros e uma entrada lateral que leva a uma cozinha maior, além de vestiários femininos e masculinos. 2º Pavimento: Um mezanino com um banheiro, oferecendo uma área adicional que pode ser adaptada às necessidades do negócio. Este espaço versátil e bem localizado é uma excelente oportunidade para empresas que buscam um imóvel pronto para operações comerciais, com todas as comodidades necessárias para funcionar com eficiência e conforto. Gostaria de saber mais informações ou agendar uma visita?. ref. 3545 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=3545
ID: L7117 | OPERACAO: Locacao | TITULO: Apartamento para aluguel no Fit Campolim | BAIRRO: Parque Campolim | CIDADE: Sorocaba | AREA: 55m2 | QUARTOS: 2 | BANHEIROS: 2 | VAGAS: 1 | ALUGUEL: R$ 2500 | DESCRICAO: Sala ampla 2 ambientes com painel para tv e ar condicionado, varanda, cozinha estilo americana com modulados. Área de serviço, wc social com box em vidro e gabinete. 2 quartos 1 sendo suíte com modulados. 1 vaga de garagem coberta. Condomínio com salão de festas, academia, piscina, mercadinho e playground. Bairro com estrutura completa de comércios, shopping , farmácias, escolas e muito mais. ref. 7117 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=7117
ID: L7168 | OPERACAO: Locacao | TITULO: Salão Comercial de 542m² para locação em avenida de grande fluxo | BAIRRO: Parque Vitória Regia | CIDADE: Sorocaba | AREA: 542m2 | QUARTOS: 0 | BANHEIROS: 0 | VAGAS: 10 | ALUGUEL: R$ 10000 | DESCRICAO: Este amplo salão comercial é a escolha ideal para empresas que buscam visibilidade e funcionalidade. Situado em uma avenida principal de acesso ao bairro, o imóvel garante excelente exposição e fluxo constante de veículos, estando cercado por uma estrutura completa de comércios e serviços. A estrutura foi planejada de forma estratégica: o pavimento térreo oferece um vão livre versátil, equipado com copa e dois banheiros. No andar superior, o amplo mezanino com banheiro privativo é ideal para operações administrativas ou salas de reunião. O diferencial fica por conta do generoso subsolo, que pode ser utilizado tanto como estoque quanto como estacionamento privativo, facilitando a logística do seu negócio. Com fácil acesso, este espaço une conveniência e potencial estratégico para diversas atividades comerciais.. ref. 7168 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=7168
ID: L1829 | OPERACAO: Locacao | TITULO: Casa para locação no Julio de Mesquita | BAIRRO: Conjunto Habitacional Júlio de Mesquita Filho | CIDADE: Sorocaba | AREA: 80m2 | QUARTOS: 2 | BANHEIROS: 1 | VAGAS: 2 | ALUGUEL: R$ 1300 | DESCRICAO: Casa para locação no Júlio de Mesquita, com dois quartos e uma área de 80m². 02 quartos sendo um com uma varanda, cozinha com balcão americano garagem para 2 carros. Próximo a estabelecimentos como bares, restaurantes, supermercados, farmácias, hospitais e transporte público.. ref. 1829 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=1829
ID: L6617 | OPERACAO: Locacao | TITULO: Apartamento para aluguel com 2 quartos | BAIRRO: Parque Morumbi | CIDADE: Votorantim | AREA: 54m2 | QUARTOS: 2 | BANHEIROS: 1 | VAGAS: 1 | ALUGUEL: R$ 1850 | DESCRICAO: Sala de estar com sacada, integrada com a cozinha com armários e área de serviço. 2 quartos sendo 1 com armário, wc social com box em vidro e gabinete. 1 vaga de garagem rotativa, apartamento todo em piso cerâmico. 2 elevadores, mercadinho, portaria 24 h, salão de festas, piscina, playground.. ref. 6617 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=6617
ID: L5272 | OPERACAO: Locacao | TITULO: Galpão a venda Jardim Leocádia | BAIRRO: Jardim Leocádia | CIDADE: Sorocaba | AREA: 336m2 | QUARTOS: 0 | BANHEIROS: 4 | VAGAS: 0 | ALUGUEL: R$ 7500 | DESCRICAO: Imóvel comercial com 336 m² de área construída, ideal para empresas que buscam amplitude, funcionalidade e localização estratégica em uma das regiões de fácil acesso de Sorocaba. Localizado no Jardim Leocádia, com deslocamento rápido para o centro da cidade, sendo perfeito para indústrias, depósitos, centros de distribuição ou outros negócios que necessitam de espaço e visibilidade. Destaques do imóvel: - 336 m² de área construída - 350 m² de terreno - Pé direito de 5 metros - Mezanino com sala ampla e banheiro - 4 banheiros - Copa e depósito - Área de luz natural - Recuo frontal para estacionamento de veículos Imóvel com excelente estrutura e ambientes bem distribuídos - perfeito para quem busca um espaço de destaque para o seu negócio, com praticidade e localização estratégica.. ref. 5272 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=5272
ID: L4380 | OPERACAO: Locacao | TITULO: APARTAMENTO À VENDA NO JD. PAGLIATO DE 63M² ! | BAIRRO: Jardim Guadalajara | CIDADE: Sorocaba | AREA: 63m2 | QUARTOS: 2 | BANHEIROS: 2 | VAGAS: 1 | ALUGUEL: R$ 1800 | DESCRICAO: Ótimo apartamento com ampla sala 2 ambientes com varanda e ventilador de teto, cozinha com gabinete e pedra de mármore na pia, lavanderia, 2 dormitórios sendo 1 suite e 1 banheiro social, ambos com box em vidro, bancada da pia em mármore, 1 vaga de garagem demarcada e descoberta. Apartamento todo em piso cerâmico e áreas molhadas com azulejo até o teto. ref. 4380 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=4380
ID: L6276 | OPERACAO: Locacao | TITULO: Casa comercial para venda e aluguel com 3 quartos | BAIRRO: Jardim Vera Cruz | CIDADE: Sorocaba | AREA: 164m2 | QUARTOS: 3 | BANHEIROS: 3 | VAGAS: 2 | ALUGUEL: R$ 3300 | DESCRICAO: Casa a venda e aluguel, aluguel somente para comercial, com sala ampla, cozinha com gabinete, 3 quartos 1 sendo suíte e wc social. banheiros com box em acrílico, casa em piso frio. Quintal amplo com edícula com quarto, wc e lavanderia. Garagem para 2 veículos, podendo usar o jardim para adaptar a garagem. Bairro com estrutura completa de comércio, fácil acesso a Avenida Santa cruz e General Carneiro. ref. 6276 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=6276
ID: L2187 | OPERACAO: Locacao | TITULO: Apartamento para alugar com 2 quartos, 65,00 m2 - Centro, Sorocaba | BAIRRO: Centro | CIDADE: Sorocaba | AREA: 65m2 | QUARTOS: 2 | BANHEIROS: 2 | VAGAS: 0 | ALUGUEL: R$ 1500 | DESCRICAO: Apartamento no primeiro andar do prédio, entrada independente, por escada, são 02 dormitórios, sala, cozinha e 02 banheiros, área externa, varanda para a rua da penha. Pode ser comercial ou residencial, piso laminado nos dormitórios e sala, cerâmico no demais ambientes.. ref. 2187 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=2187
ID: L5088 | OPERACAO: Locacao | TITULO: Salão para aluguel no Jardim Santa Rosália | BAIRRO: Jardim Santa Rosália | CIDADE: Sorocaba | AREA: 60m2 | QUARTOS: 0 | BANHEIROS: 1 | VAGAS: 0 | ALUGUEL: R$ 2400 | DESCRICAO: Salão para aluguel no Jardim Santa Rosália com 60m², 1 banheiro. frente com recuo. ótima localização.. ref. 5088 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=5088
ID: L7204 | OPERACAO: Locacao | TITULO: Apartamento para aluguel no Centro com 2 quartos | BAIRRO: Centro | CIDADE: Sorocaba | AREA: 96m2 | QUARTOS: 2 | BANHEIROS: 2 | VAGAS: 0 | ALUGUEL: R$ 1850 | DESCRICAO: Apartamento para aluguel no Centro com sala ampla com varanda cozinha área de serviço com wc 2 quartos wc social Apartamento todo em piso cerâmico 1 lance de escada. Localizado no coração da Cidade. com grande variedade de comércios, farmácias, escolas, restaurantes, e muito mais. ref. 7204 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=7204
ID: L7203 | OPERACAO: Locacao | TITULO: Apartamento para aluguel no Centro com 3 quartos | BAIRRO: Centro | CIDADE: Sorocaba | AREA: 112m2 | QUARTOS: 3 | BANHEIROS: 2 | VAGAS: 0 | ALUGUEL: R$ 2180 | DESCRICAO: Apartamento para aluguel no Centro com sala ampla, cozinha área de serviço com wc 3 quartos wc social Apartamento todo em piso cerâmico 1 lance de escada. Localizado no coração da Cidade. com grande variedade de comércios, farmácias, escolas, restaurantes, e muito mais. ref. 7203 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=7203
ID: L3386 | OPERACAO: Locacao | TITULO: Apartamento Jardim Emilia | BAIRRO: Jardim Faculdade | CIDADE: Sorocaba | AREA: 69m2 | QUARTOS: 2 | BANHEIROS: 2 | VAGAS: 2 | ALUGUEL: R$ 2900 | DESCRICAO: Novíssimo apartamento com uma sala 2 ambientes com varanda integrada e cozinha americana, toda em piso porcelanato e com instalação para Split, 2 dormitórios sendo 1 suíte, dormitórios com instalação para Split, banheiro social e lavanderia. 2 vagas de garagem coberta e demarcadas Cozinha toda modulada Banheiros com box em vidro e gabinetes. Quarto com armário 2 vagas de garagem cobertas.. ref. 3386 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=3386
ID: L1963 | OPERACAO: Locacao | TITULO: Galpão comercial para alugar no Jardim Bertanha - Sorocaba - SP | BAIRRO: Jardim Bertanha | CIDADE: Sorocaba | AREA: 106m2 | QUARTOS: 0 | BANHEIROS: 1 | VAGAS: 0 | ALUGUEL: R$ 4800 | DESCRICAO: Galpão comercial com área de cerca de 106m², num terreno de 105m², com piso de concreto, pé direito de 7 metros, janelas de alumínio, porta de enrolar com vão de 3 metros. O prédio conta ainda com um tanque de louça e um banheiro. Em localização privilegiada, à cerca de 500 metros do CEAGESP e fácil acesso à rodovia Raposo Tavares. Estamos à disposição para te atender. Gostaria de saber mais informações ou agendar uma visita?. ref. 1963 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=1963
ID: L1962 | OPERACAO: Locacao | TITULO: Galpão comercial para alugar no Jardim Bertanha - Sorocaba - SP | BAIRRO: Jardim Bertanha | CIDADE: Sorocaba | AREA: 200m2 | QUARTOS: 0 | BANHEIROS: 3 | VAGAS: 0 | ALUGUEL: R$ 8000 | DESCRICAO: Excelente galpão comercial com área de cerca de 200m², num terreno de 180m², com piso de concreto, pé direito de 7 metros, janelas de alumínio, portão pi-votante de duas abas na área de serviço e embutido um portão para entrada social. O prédio conta com recepção, mezanino para escritório, copa cozinha e banheiros. Em ótima localização à cerca de 500 metros do CEAGESP e fácil acesso à rodovia Raposo Tavares. Estamos à disposição para te atender. Gostaria de saber mais informações ou agendar uma visita?. ref. 1962 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=1962
ID: L1055 | OPERACAO: Locacao | TITULO: Casa à venda e aluguel, 3 quartos no Jardim Maria Antônia Prado - Sorocaba | BAIRRO: Jardim Maria Antônia Prado | CIDADE: Sorocaba | AREA: 165m2 | QUARTOS: 3 | BANHEIROS: 2 | VAGAS: 4 | ALUGUEL: R$ 2950 | DESCRICAO: Casa ampla em excelente localização em rua sem saída. Sala ampla com fácil integração à cozinha, balcão de apoio, banheiro social com box blindex, 3 dormitórios sendo 1 suíte, corredor lateral com acesso ao quintal, garagem para 4 veículos e jardim em frente ao imóvel. Casa toda reformada. Local com muitas opções de comércios incluindo a Havan e Shopping Cidade, além de escolas e serviços públicos comuns. Fácil acesso à Avenida Itavuvu. Estamos à disposição para te atender. Gostaria de saber mais informações ou agendar uma visita?. ref. 1055 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=1055
ID: L2734 | OPERACAO: Locacao | TITULO: Terreno á venda e parar aluguel, 336,00 m2 - Parque Campolim, Sorocaba | BAIRRO: Parque Campolim | CIDADE: Sorocaba | AREA: 0m2 | QUARTOS: 0 | BANHEIROS: 0 | VAGAS: 0 | ALUGUEL: R$ 10000 | DESCRICAO: Terrenos planos excelente para comercio, já com uma pequena construção que hoje serve de garagem para o proprietário, gramado e com algumas árvores frutíferas. ref. 2734 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=2734
ID: L6837 | OPERACAO: Locacao | TITULO: Casa a venda e aluguel no condomínio Aldeia da Mata | BAIRRO: Itapeva | CIDADE: Votorantim | AREA: 288m2 | QUARTOS: 3 | BANHEIROS: 6 | VAGAS: 5 | ALUGUEL: R$ 9500 | DESCRICAO: Casa a venda e aluguel no condomínio Aldeia da Mata com elevador, sala de estar com lareira com pé direito duplo, sala de jantar, sala de televisão com wc, lavabo, cozinha toda modulada e sala de almoço, área de serviço com armários, depósito e 5 vagas de garagem sendo 3 cobertas. Área gourmet com churrasqueira, pia de apoio, ofurô, quintal gramado com paisagismo. Andar superior com 3 suítes amplas 1 sendo máster com closet todas com ar condicionado, banheiros com box em vidro e gabinetes, quartos em piso madeira. Casa ampla arejada e espaçosa. Condomínio com área verde, playground, salão de festas, trilha, quadra poliesportiva.. ref. 6837 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=6837
ID: L5603 | OPERACAO: Locacao | TITULO: Terreno para aluguel | BAIRRO: Parque Campolim | CIDADE: Sorocaba | AREA: 0m2 | QUARTOS: 0 | BANHEIROS: 0 | VAGAS: 0 | ALUGUEL: R$ 120000 | DESCRICAO: Área para aluguel com 3178m², Avenida com ótima localização. Fácil acesso as principais Avenidas da Cidade. ref. 5603 atualizado em 26/02. | LINK: https://www.juliocasas.com.br/pesquisa-de-imoveis/?codigo=5603
